,Open,High,Close
153,768.840027,768.969971,765.840027
154,758.969971,764.450012,761.969971
155,757.52002,759.26001,757.650024
156,757.679993,759.820007,757.52002
157,757.320007,759.450012,759.280029
158,757.0,758.150024,754.409973
159,754.049988,760.6400150000001,757.080017
160,749.869995,756.590027,753.409973
161,737.909973,755.1400150000001,753.200012
162,741.0,741.0,735.630005
163,733.9400019999999,736.1400150000001,735.799988
164,735.52002,735.52002,729.47998
165,731.919983,735.599976,732.51001
166,719.419983,728.929993,727.200012
167,710.5599980000001,717.900024,717.780029
168,710.1099849999999,710.169983,707.26001
169,699.840027,713.0,708.969971
170,705.01001,708.119995,704.8900150000001
171,705.099976,712.530029,710.25
172,697.650024,703.77002,703.530029
173,694.26001,699.5,695.1900019999999
174,691.369995,692.73999,691.26001
